epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,1.315138,#na#,00:16
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.004494,0.004898,0.998775,0.720841,0.184305,0.306315,14:10
1,0.003255,0.003815,0.998955,0.803624,0.317402,0.471663,14:05
2,0.002390,0.003446,0.999053,0.812794,0.408243,0.554667,14:07
3,0.001847,0.003423,0.999075,0.817946,0.423723,0.567540,14:05
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.007587,#na#,00:16
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.001664,0.003502,0.999043,0.789928,0.422009,0.561160,19:47
1,0.001407,0.003600,0.999061,0.794650,0.436708,0.569141,19:39
2,0.001284,0.003602,0.999084,0.791427,0.471583,0.591268,19:43
3,0.001111,0.003638,0.999084,0.793209,0.477316,0.590918,19:39
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.003105,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000944,0.003877,0.999051,0.763349,0.473712,0.586000,25:21
1,0.000842,0.003996,0.999062,0.763061,0.488433,0.592634,25:11
2,0.000776,0.004087,0.999082,0.767952,0.509551,0.605105,25:13
3,0.000631,0.004150,0.999094,0.770623,0.516920,0.611536,25:08
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.002838,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000479,0.004514,0.999070,0.756849,0.514742,0.602157,25:19
1,0.000469,0.004732,0.999059,0.743653,0.509670,0.595610,25:09
2,0.000420,0.004836,0.999079,0.747498,0.531772,0.612138,25:15
3,0.000371,0.004862,0.999089,0.752585,0.537837,0.616901,25:10
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000889,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000215,0.005392,0.999069,0.743130,0.523810,0.605906,25:21
1,0.000245,0.005520,0.999065,0.745269,0.515191,0.598115,25:12
2,0.000239,0.005501,0.999084,0.738924,0.548562,0.618764,25:15
3,0.000243,0.005536,0.999087,0.741941,0.551261,0.620290,25:10
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000519,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000134,0.006228,0.999062,0.743303,0.521360,0.596857,25:20
1,0.000176,0.006095,0.999053,0.732802,0.524775,0.599627,25:09
2,0.000142,0.006094,0.999086,0.739843,0.552249,0.619383,25:14
3,0.000168,0.006064,0.999091,0.739535,0.556733,0.624604,25:09
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000352,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000072,0.006737,0.999084,0.743051,0.538129,0.612378,25:20
1,0.000106,0.006540,0.999068,0.732875,0.538563,0.608406,25:10
2,0.000109,0.006517,0.999085,0.734208,0.557299,0.620574,25:14
3,0.000130,0.006477,0.999090,0.735124,0.561469,0.625252,25:11
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000315,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000074,0.007140,0.999084,0.735991,0.546525,0.614001,25:21
1,0.000101,0.006886,0.999069,0.733716,0.536099,0.607696,25:11
2,0.000083,0.006878,0.999078,0.726810,0.557385,0.619551,25:15
3,0.000110,0.006802,0.999084,0.730061,0.564152,0.623390,25:10
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000160,#na#,00:17
epoch,train_loss,valid_loss,accuracy_thresh,multi_label_precision,multi_label_recall,fbeta,time
0,0.000044,0.007352,0.999091,0.738419,0.553151,0.618789,25:21
1,0.000083,0.007104,0.999065,0.725352,0.542163,0.608335,25:10
2,0.000060,0.007220,0.999077,0.726501,0.552970,0.616571,25:14
3,0.000094,0.007046,0.999082,0.725325,0.564227,0.623736,25:09
